Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Language,Name.creator,Name.repository,Name.subject,Rights.rightsHolderContact,Rights.servicesContact,Subject,Date.normalized,Title,Date.creation,Description.note,IIIF Manifest URL
ARPANET Project Notes,ark:/21198/zz002h2dd6,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw14wf,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1971-05-28,SPADE Admin. Note 110 SPADE Group Meeting,28 May 1971,Note contains a description of STARPROG with diagrams.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dd6/manifest
ARPANET Project Notes,ark:/21198/zz002h2dfq,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t851z,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1971-06-18,SPADE Admin. Note 116 SPADE Meeting,18 June 1971,"Note contains gives slice of life comments such as ""catch up on missed meals, sleep and showers"".",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dfq/manifest
ARPANET Project Notes,ark:/21198/zz002h2dg7,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w96wv9,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1971-06-25,SPADE Admin. Note 118 Agenda,25 June 1971,Note on design process for the Sigma Experimental (SEX) console.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dg7/manifest
ARPANET Project Notes,ark:/21198/zz002h2dhr,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v13v8,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1971-08-26,SPADE Admin. Note 141 Bug List,26 Aug 1971,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dhr/manifest
ARPANET Project Notes,ark:/21198/zz002h2dj8,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030c65,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1971-10-15,SPADE Admin. Note 160 SPADE Meeting,15 Oct 1971,"Note contains comments on L. Roberts report: ""caused a stir"" and ""you should replace your machine every 1 1/2 years"".",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dj8/manifest
ARPANET Project Notes,ark:/21198/zz002h2dks,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn7tgt,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1971-12-10,SPADE Admin. Note 176 SPADE Meeting,10 Dec 1971,Note contains diagram listing three months of system tasks and development.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dks/manifest
ARPANET Project Notes,ark:/21198/zz002h2dm9,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46b01,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1971-12-17,SPADE Admin. Note 178 SPADE Meeting,17 Dec 1971,Notes contains diagram indicating where measurements of network traffic need to be done.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dm9/manifest
ARPANET Project Notes,ark:/21198/zz002h2dnt,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v42t7,text,copyrighted,US,Y,eng,"Roberts, L. G. (Lawrence G.)",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972-06-26,ASS Note 8 ALOHA Packet System with and without Slots and Capture,26 Jun 1972,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dnt/manifest
ARPANET Project Notes,ark:/21198/zz002h2dpb,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d527m2,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972-01-07,SPADE Admin. Note 180 SPADE Meeting,7 Jan 1972,Notes contains diagram of proposed SDS Sigma 7 resident code.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dpb/manifest
ARPANET Project Notes,ark:/21198/zz002h2dqv,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9fnp,text,copyrighted,US,Y,eng,,,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972-03-03,SPADE Admin. Note 197,3 Mar 1972,Note contains diagram of the CCN model.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dqv/manifest
ARPANET Project Notes,ark:/21198/zz002h2drc,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7fr3,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972-07-31,ASS Note 11 A Brief Simulation of the Dynamics of an ALOHA System with Slots,31 Jul 1972,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2drc/manifest
ARPANET Project Notes,ark:/21198/zz002h2dsw,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17mgz,text,copyrighted,US,Y,eng,"Kleinrock, Leonard",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972-08-22,ASS Note 12 Analytical Results for the ARPANET Satellite System Model Including the Effects of the Retransmission Delay Distribution,"22 Aug, 1972",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dsw/manifest
ARPANET Project Notes,ark:/21198/zz002h2dtd,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j21s4,text,copyrighted,US,Y,eng,"Kleinrock, Leonard",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972-10-03,ASS Note 17 Approximations in the Infinite Population Model of the ARPANET Satellite System,3 Oct 1972,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dtd/manifest
ARPANET Project Notes,ark:/21198/zz002h2dvx,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698q68,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972,ASS Note 21 A Comparison of BBN ALOHA and Idealized Slotted Aloha,1972,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dvx/manifest
ARPANET Project Notes,ark:/21198/zz002h2dwf,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j7zh0,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972-11-20,ASS Note 25 Correction for ASS Note 12,20 Nov 1972,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dwf/manifest
ARPANET Project Notes,ark:/21198/zz002h2dzg,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932dt6,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972-12-14,"PR Temp Note 1 Packet Radio Meeting of December 12-13, 1972",14 Dec 1972,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dzg/manifest
ARPANET Project Notes,ark:/21198/zz002h2f0g,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9mrg,text,copyrighted,US,Y,eng,"Kleinrock, Leonard",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1973-01-15,PR Temp Note 11 Routing in Packet Radio Systems Controlled Flooding Using Handover Numbers,15 Jan 1973,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f0g/manifest
ARPANET Project Notes,ark:/21198/zz002h2f10,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx80vk,text,copyrighted,US,Y,eng,"Kleinrock, Leonard",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1973-02-12,PR Temp Note 24 Throughput in Carrier-Sense (AutoSlot) Packet Radio Systems,12 Feb 1973,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f10/manifest
ARPANET Project Notes,ark:/21198/zz002h2f2h,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm6w2p,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1973-02-23,PR Temp Note 29 FACSIMILE DATA FORMAT,23 Feb 1973,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f2h/manifest
ARPANET Project Notes,ark:/21198/zz002h2f31,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4pb5,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1973,Report: First Packet Radio Working Group Meeting,1973,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f31/manifest
ARPANET Project Notes,ark:/21198/zz002h2f4j,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51bg7,text,copyrighted,US,Y,eng,"Cerf, Vinton G, 1943-",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1974-10-28,Protocol Note 8 Some Considerations on Flow Control for International Packet Transport,28 Oct 1974,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f4j/manifest
ARPANET Project Notes,ark:/21198/zz002h2f6k,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx523q,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1975-04,Protocol Note 21 A PROPOSAL FOR FRAGMENTING PACKETS IN INTERNETWORKING,Apr 1975,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f6k/manifest
