Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject.descriptiveTopic,Type.typeOfResource,Rights.copyrightStatus,Subject.conceptTopic,Personal or Corporate Name.sponsor,Subject.corporateName,"Subject.Jones, Marcia : local",Subject topic,Personal or Corporate Publisher.publisherName,Personal or Corporate Name.photographer,Personal or Corporate Name.designer,Name.creator,Personal or Corporate Name.printer,Personal or Corporate Name.conceptor,Personal or Corporate Name.artist,Personal or Corporate Author,Personal or Corporate Name.musician,Personal or Corporate Name.funder,Personal or Corporate Name.other,Personal or Corporate Rights.rightsHolderName,Personal or Corporate Name.writer,Personal or Corporate Name.repository,Personal or Corporate Editor,Language,Coverage.geographic,Personal or Corporate Name.actress,Personal or Corporate Name.artDirector,Type.genre,Personal or Corporate Name.publishingDirector,Rights.permission,Personal or Corporate Name.subject,Rights.servicesContact,Alternate Identifier.local,Title,Alternate Title.other,Description.note,Publisher.placeOfOrigin,Date.creation,Format.dimensions,Alternate Title.translated,Description.inscription,Alternate Title.inscribed,Alternate Title.descriptive,Date.normalized,Relation.hasVersion,Relation.derivedFrom,Description.abstract,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
AIDS Posters Collection,ark:/21198/zz0002jptd,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at011.tif,,,,Couples,still image,copyrighted,AIDS (Disease)--Prevention|~|Safe Sex|~|Acquired Immunodeficiency Syndrome--prevention & control,,,,,Australian National Council on AIDS|~|National AIDS Campaign (Australia),,TheArtworks,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT011,Safe sex can be fun [inscribed],,"Multicolor drawing of a couple, one with an arm around the other's shoulders, both wearing T-shirts reading ""Be Safe, Be Sure"" and surrounded by the text of the poster.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT011.|~|Date on back of poster, 1995, reflects when the vendor received the copy later acquired by the UCLA Library.",Canberra (A.C.T.),[between 1987 and 1995],43 x 30 cm. (17 x 12 in.),,"Additional poster text: If you kiss, touch, hug, pet or cuddle, you can't get AIDS. Everybody needs to know the facts about safe sex and AIDS. Everybody. And how do you find out? That's easy! Health centres, doctors, youth centres and schools have information on all the facts, and more, that you need to know. If you do have sex, always use a condom.|~|Additional poster text: We do it safely.",,,1987/1995,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jptd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jptd/manifest
AIDS Posters Collection,ark:/21198/zz0002jpwf,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at012.tif,,,,Condoms,still image,copyrighted,Acquired Immunodeficiency Syndrome--prevention & control,,,,,"Australia. Dept. of Health, Housing, Local Government and Community Services",,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT012,Cover yourself against AIDS [inscribed],,"White background with black text. Text is ""encased"" in a pink condom.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT012.|~|Date on back of poster, 1995, reflects when the vendor received the copy later acquired by the UCLA Library.",Australia,[1991],36 x 105 cm. (14 x 41 in.),,,,,1991,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jpwf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jpwf/manifest
AIDS Posters Collection,ark:/21198/zz0002jpzg,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at013.tif,,,,Men|~|Condoms,still image,copyrighted,Safe sex in AIDS prevention|~|Safe Sex|~|Acquired Immunodeficiency Syndrome--prevention & control,,,,,"Australia. Dept. of Health, Housing and Community Services",,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT013,"If it's not on, it's not on [inscribed]",,"White background with black text. A condom with feet illustrates the middle of the text, and at the end of the text is an illustration of a depressed looking man. Condom humorously suggests that there will be no sex without protection.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT013.|~|Date on back of poster, 1996, reflects when the vendor received the copy later acquired by the UCLA Library.",Australia,[1991],30 x 102 cm.,,,,,1991,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jpzg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jpzg/manifest
AIDS Posters Collection,ark:/21198/zz0002jq10,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at014.tif,,,,Indigenous peoples--Arts & crafts|~|Hypodermic syringes|~|Paintings,still image,copyrighted,Indigenous peoples--Australia|~|AIDS (Disease)--Prevention|~|Acquired Immunodeficiency Syndrome--prevention & control,,,,,Australia. Dept. of Human Services and Health,,,,,,"Bancroft, Bronwyn",,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT014,Education about AIDS [inscribed],Everybody's business,"Poster depicts a painting by an Australian Aboriginal artist, Bronwyn Bancroft, on a black background. Multicolored images of hypodermic needles against a background of other images and silhouettes.|~|Part of the ""Everybody's business"" campaign.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT014.",Australia,[1992],89 x 61 cm.,,Additional poster text: This poster represents the need to educate people about needle exchange programs and the importance of safe sex. The small circles house the different groups that are available for counselling and education about AIDS. The flower shapes in the corner represent the spread of good information about AIDS prevention and education.,,,1992,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jq10,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jq10/manifest
AIDS Posters Collection,ark:/21198/zz0002jq31,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at015.tif,,,,Superheroes|~|AIDS (Disease)--Prevention,still image,copyrighted,Safe Sex|~|Acquired Immunodeficiency Syndrome--prevention & control,,,,,Australia. Dept. of Human Services and Health|~|Aboriginal Health Workers of Australia (Queensland),,,,,,Redback Graphix (Firm),,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT015,"Condoman says: Don't be shame, be game. Protect yourself! [inscribed]",,"Color illustration of comic book superhero figure Condoman advising the use of condoms. Poster suggests there is nothing shameful about condom use.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT015.|~|Date on back of poster, 1996, reflects when the vendor received the copy later acquired by the UCLA Library.",[Queensland],[1988],43 x 28 cm. (17 x 11 in.),,,,,1988,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jq31,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jq31/manifest
AIDS Posters Collection,ark:/21198/zz0002jq52,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/au001.tif,,,,Gestures|~|Condoms|~|Hands|~|Fingers,still image,unknown,AIDS (Disease)--Prevention|~|World AIDS Day|~|Acquired Immunodeficiency Syndrome--prevention & control,AIDS-Hilfe Tirol,,,,,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,ger,Austria,,,posters,,,,,AU001,...immer noch nicht kapiert? [inscribed],,"Man's raised fist, with middle finger extended. Middle finger is covered with a condom. Image is white on black, with large red lettering for the title, going across the bottom of the fist. Additional lettering is smaller, in white, at the bottom. Poster strongly suggests the use of a condom when having sex.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AU001.|~|Date on back of poster, 1999, reflects when the vendor received the copy later acquired by the UCLA Library.",Tyrol (Austria),[between1987 and 1999],86 x 61 cm. (34 x 24 in.),...still don't get it?,1. Dezember Welt-AIDS-Tag. AIDS Hilfe Tirol. Bruneckerstrasse 8. 6020 Innsbruck. Tel.: 0512/56 36 21. AIDS Hilfe.,,,1987/1999,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jq52,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jq52/manifest
AIDS Posters Collection,ark:/21198/zz0002jq73,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/au002.tif,,,,Hands|~|Arms (Anatomy),still image,unknown,Preventive medicine|~|Acquired Immunodeficiency Syndrome|~|Social networks|~|AIDS (Disease)--Transmission,,,,,AIDS-Hilfe Wien,,,,Druckerei Rezegh,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,ger,Austria,,,posters,,,,,AU002,Menschlichkeit ist ansteckend. Mit HIV-Positiven leben nicht. [inscribed],,"Two arms curved upward, hands with fingers extended. The arms cross at the wrists, and the fingers curve toward each other, forming the shape of an AIDS ribbon. Image is black/grey, on a white background. Title appears at the point where the wrists cross.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AU002.",Vienna (Austria),[between 1987 and 2003],86 x 61 cm. (34 x 24 in.),"Humanity is infectious. With HIV-positive people, life is not.",,,,1987/2003,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jq73,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jq73/manifest
AIDS Posters Collection,ark:/21198/zz0002jq94,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/au003.tif,,,,,still image,unknown,Safe sex in AIDS prevention|~|Acquired Immunodeficiency Syndrome--transmission|~|AIDS (Disease)--Risk factors|~|AIDS (Disease)--Transmission,AIDS-Hilfe Salzburg,,,,,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,ger,Austria,,,posters,,,,,AU003,Wichtigste über AIDS [inscribed],,"Large amounts of text on light pink (on left) and light green (on right)background. Background contains very light images of many items: question marks, exclamation points, women, men, etc. Title in large letters in red, across top. Summary of text (which is in German): list going down left side: how HIV gets transmitted; list going down right side: how HIV does NOT get transmitted. Small green (on left) and red (on right) boxes at bottom describe AIDS-Hilfe Salzburg, and the help the organization provides, including contact information.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AU003.",Salzburg (Austria),[between 1987 and 2003],43 x 61 cm. (17 x 24 in.),Most important facts about AIDS,,,,1987/2003,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jq94,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jq94/manifest
AIDS Posters Collection,ark:/21198/zz0002jqc5,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/au004.tif,,,,,still image,unknown,Congresses|~|Acquired Immunodeficiency Syndrome--Congresses|~|AIDS (Disease)--Congresses,Österreichische AIDS-Hilfe,,,,,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,ger,Austria,,,posters,,,,,AU004,"AIDS. Erst kommt das Virus, dann kommt die Moral. [inscribed]",,"Chiefly red text on white background; stripes of white text on red background across top and bottom. Text describes events taking place at a conference on AIDS: films, lectures, and other events. Conference not named; year not given. Location of conference was Vienna, Austria.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AU004.",Vienna (Austria),[between 1987 and 2003],61 x 43 cm. (24 x 17 in.),"AIDS: first comes the virus, then comes morality.",,,,1987/2003,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jqc5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jqc5/manifest
AIDS Posters Collection,ark:/21198/zz0002jqf6,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/au005.tif,,,,Penis--Caricatures and cartoons|~|Cartoons (Commentary),still image,unknown,Condoms|~|Acquired Immunodeficiency Syndrome--prevention & control,Amt der Kärntner Landesregierung. Referat für Gesundheit und Soziales.|~|Gewerkschaftsjugend Kärnten|~|AIDS-Hilfe Kärnten,,,,,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,ger,Austria,,,posters,,,,,AU005,Rolfi geht auf's Ganze... [inscribed],,"Cartoon featuring Rolfi, the penis, as he learns how to put on a condom. He discovers how much fun and how easy it is to use the condom.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AU005.",Carinthia (Austria),[1993],61 x 43 cm. (24 x 17 in.),Rolfi goes all the way...,"Additional poster text: Wenn alle sich schützen, hat AIDS keine Chance!|~|Translation of German text: When everyone protects him-/herself, AIDS has no chance!",,,1993,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jqf6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jqf6/manifest
