Item ARK,Parent ARK,Object Type,Title,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
ark:/21198/z1x081cn,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Outdoor group portrait 20,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00803_DC01M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00803|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,bedouin life|~|desert life|~|traditional attire|~|ethnographic gaze|~|gender roles|~|family ties,Damascus (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x081cn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x081cn/manifest
ark:/21198/z1s778nx,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Camel watering at an oasis,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00804_DC01M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00804|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,desert life|~|wildlife,Damascus (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s778nx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s778nx/manifest
ark:/21198/z1ng6j1z,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Outdoor snapshot 45,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00805_DC01M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00805|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,bedouin life|~|desert life|~|agriculture,Damascus (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6j1z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ng6j1z/manifest
ark:/21198/z1ht4gp3,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Herd of sheep and camels at a water point,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00806_DC01M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00806|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,bedouin life|~|desert life|~|agriculture,Damascus (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4gp3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ht4gp3/manifest
ark:/21198/z1d23r10,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Column of camels crossing a water canal,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00807_DC01M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00807|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,bedouin life|~|desert life|~|agriculture,Damascus (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23r10,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d23r10/manifest
ark:/21198/z189309n,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Outdoor snapshot 46,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00808_DC01M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00808|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,bedouin life|~|desert life|~|agriculture,Damascus (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz189309n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz189309n/manifest
ark:/21198/z14j27gk,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Outdoor group portrait of Suhayl Jabbur and his students,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00809_DC01M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00809|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,academic life|~|campus|~|class|~|university|~|AUB,Beirut (Lebanon),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j27gk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14j27gk/manifest
ark:/21198/z10s1gqd,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,View of a building in Beirut,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00810_DC01M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00810|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,urban vegetation|~|modern architecture,Beirut (Lebanon),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1gqd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s1gqd/manifest
ark:/21198/z1w11088,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Outdoor group portrait at the train station,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00125_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 12 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00125|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modernity|~|travel|~|transport|~|modern fashion|~|diaspora|~|family ties|~|friendship,North Carolina (USA),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w11088,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w11088/manifest
ark:/21198/z1r807nw,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Outdoor portrait 10,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00126_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 12 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00126|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,amusement|~|candid|~|gender stereotypes|~|femininity|~|nature|~|garden,North Carolina (USA),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r807nw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r807nw/manifest
ark:/21198/z1mk8670,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Village women straining flour 1,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00127_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 18.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00127|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,traditional attire|~|manual labour|~|tradition|~|ethnographic gaze|~|cultural identity|~|heritage,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk8670,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mk8670/manifest
ark:/21198/z1gt7fk5,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Village women straining flour 2,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00128_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 18.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00128|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,traditional attire|~|manual labour|~|tradition|~|ethnographic gaze|~|cultural identity|~|heritage,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7fk5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt7fk5/manifest
ark:/21198/z1c26pvr,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Village women straining flour 3,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00129_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 18.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00129|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,traditional attire|~|manual labour|~|tradition|~|ethnographic gaze|~|cultural identity|~|heritage,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26pvr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c26pvr/manifest
ark:/21198/z1795z13,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Front yard of a house,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00130_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 18.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00130|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,traditional architecture|~| garden|~|countryside|~|village,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795z13,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1795z13/manifest
ark:/21198/z13j5689,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Back yard of a house,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00131_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 18.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00131|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,traditional architecture|~| garden|~|countryside|~|village,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j5689,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j5689/manifest
ark:/21198/z1zs4pvh,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Garden of a house,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00132_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 18.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00132|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,traditional architecture|~| garden|~|countryside|~|village,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4pvh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs4pvh/manifest
ark:/21198/z1v13z6d,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Egg tapping battle beween youth 2,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00133_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 12.3 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00133|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,youth|~|childhood|~|games|~|tradition|~|customs|~|ritual|~|celebration|~|contest|~|christianity,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13z6d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v13z6d/manifest
ark:/21198/z1qc1wvj,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Egg tapping battle beween youth 3,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00134_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 12.3 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00134|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,youth|~|childhood|~|games|~|tradition|~|customs|~|ritual|~|celebration|~|contest|~|christianity,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1wvj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qc1wvj/manifest
ark:/21198/z1km157z,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Water well 1,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00135_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 12.5 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00135|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,water source|~|traditional architecture|~| garden|~|countryside|~|village,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km157z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1km157z/manifest
ark:/21198/z1fv0dfb,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Water well 2,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00136_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 12.5 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00136|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,water source|~|traditional architecture|~| garden|~|countryside|~|village,Al Qaryatayn (Syria),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0dfb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv0dfb/manifest
ark:/21198/z1b29nng,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Princeton University,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00137_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 12.5 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00137|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,campus|~|gothic architecture|~|ornamentation|~|facade|~|education,Princeton (USA),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29nng,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b29nng/manifest
ark:/21198/z1698ww9,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Outdoor snapshot 25,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00138a_DC02M.tif,,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6 cm x 12.5 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0083ja00138a|~|Collection 0083ja|~|Box 65,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,suburbia|~|modern architecture|~|married couple,Princeton (USA),,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698ww9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1698ww9/manifest
