Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,Subject.uniformTitle,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,AltTitle.uniform,Description.abstract,Bucketeer State,IIIF Access URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz26,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz26-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 16,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz3q,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz3q-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 17,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz47,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz47-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 18,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz5r,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz5r-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 19,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz68,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz68-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 2,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz7s,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz7s-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 3,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz89,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz89-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 4,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmz9t,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmz9t-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 5,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzbb,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmzbb-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 6,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzcv,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmzcv-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 7,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzdc,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmzdc-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 8,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzfw,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001nmzfw-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"National Barn Dance, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 490_ 9_ 9,1 photograph : b&w,8 x 10 in.,"NATIONAL BARN DANCE, THE",,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nnv05,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nnv05-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Whelan, Arleen, $d 1914-1993","Foster, Lewis R., 1898-1974",,Paramount Pictures Corporation|~|Pine-Thomas Productions,,,Paramount Pictures Corporation,,Passage West (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,"Creber, Lewis H.",,pasc_195_ 804_ 14_ 11,1 photograph : b&w,8 x 10 in.,Arleen Whelan in Passage West,1950-06/1950-08,"""PASSAGE WEST""A Pine-Thomas ProductionA Paramount PictureColor by Technicolor",between June and August 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nnv26,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nnv26-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Payne, John, $d 1912-1989|~|Whitney, Susan, $d 1940-|~|Anderson, Mary, $d 1918-2014","Foster, Lewis R., 1898-1974",,Paramount Pictures Corporation|~|Pine-Thomas Productions,,,Paramount Pictures Corporation,,Passage West (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,"Creber, Lewis H.",,pasc_195_ 804_ 14_ 3,1 photograph : b&w,8 x 10 in.,"Mary Anderson, Susan Whitney, and John Payne in Passage West",1950-06/1950-08,"""PASSAGE WEST""A Pine-Thomas ProductionA Paramount PictureColor by Technicolor",between June and August 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nnv3q,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nnv3q-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Hansen, Peter, $d 1921-|~|Carr, Estelle","Foster, Lewis R., 1898-1974",,Paramount Pictures Corporation|~|Pine-Thomas Productions,,,Paramount Pictures Corporation,,Passage West (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,"Creber, Lewis H.",,pasc_195_ 804_ 14_ 4,1 photograph : b&w,8 x 10 in.,Estelle Carr and Peter Hansen in Passage West,1950-06/1950-08,"""PASSAGE WEST""A Pine-Thomas ProductionA Paramount PictureColor by Technicolor",between June and August 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nnv47,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nnv47-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Faylen, Frank, $d 1905-1985|~|Whelan, Arleen, $d 1914-1993|~|Field, Mary, $d 1909-1996","Foster, Lewis R., 1898-1974",,Paramount Pictures Corporation|~|Pine-Thomas Productions,,,Paramount Pictures Corporation,,Passage West (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,"Creber, Lewis H.",,pasc_195_ 804_ 14_ 5,1 photograph : b&w,8 x 10 in.,"Frank Faylen, Mary Field, and Arleen Whelan in Passage West",1950-06/1950-08,"""PASSAGE WEST""A Pine-Thomas ProductionA Paramount PictureColor by Technicolor",between June and August 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nnv5r,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nnv5r-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Payne, John, $d 1912-1989|~|Whelan, Arleen, $d 1914-1993","Foster, Lewis R., 1898-1974",,Paramount Pictures Corporation|~|Pine-Thomas Productions,,,,,Passage West (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,"Creber, Lewis H.",,pasc_195_ 804_ 14_ 6,1 photograph : b&w,8 x 10 in.,Arleen Wheland and John Payne in Passage West,1950-06/1950-08,"""PASSAGE WEST""A Pine-Thomas ProductionA Paramount PictureColor by Technicolor",between June and August 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nnv68,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nnv68-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"O'Keefe, Dennis, $d 1908-1968","Foster, Lewis R., 1898-1974",,Paramount Pictures Corporation|~|Pine-Thomas Productions,,,Paramount Pictures Corporation,,Passage West (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,"Creber, Lewis H.",,pasc_195_ 804_ 14_ 7,1 photograph : b&w,8 x 10 in.,Dennis O'Keefe in Passage West,1950-06/1950-08,"""PASSAGE WEST""A Pine-Thomas ProductionA Paramount PictureColor by Technicolor",between June and August 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4n9,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np4n9-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Morgan, Dennis, $d 1908-1994|~|Drake, Betsy, $d 1923-|~|Scott, Zachary, $d 1914-1965","Windust, Bretaigne, $d 1906-1960",,Warner Bros. Pictures,,,Warner Bros. Pictures,,Pretty Baby (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 764_ 14_ 2,1 photograph : b&w,8 x 10 in.,"Dennis Morgan, Betsy Drake, and Zachary Scott in Pretty Baby",1949-12/1950-02,"WARNER BROS. PICTURES INC. Presents ""PRETTY BABY"" starring DENNIS MORGAN - BETSY DRAKE",between December 1949 and February 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4pt,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np4pt-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Morgan, Dennis, $d 1908-1994|~|Drake, Betsy, $d 1923-|~|Scott, Zachary, $d 1914-1965","Windust, Bretaigne, $d 1906-1960",,Warner Bros. Pictures,,,Warner Bros. Pictures,,Pretty Baby (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 764_ 14_ 3,1 photograph : b&w,8 x 10 in.,"Dennis Morgan, Betsy Drake, and Zachary Scott in Pretty Baby",1949-12/1950-02,"WARNER BROS. PICTURES INC. Presents ""PRETTY BABY"" starring DENNIS MORGAN - BETSY DRAKE",between December 1949 and February 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4rv,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np4rv-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Morgan, Dennis, $d 1908-1994|~|Gwenn, Edmund, $d 1875-1959|~|Scott, Zachary, $d 1914-1965","Windust, Bretaigne, $d 1906-1960",,Warner Bros. Pictures,,,Warner Bros. Pictures,,Pretty Baby (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 764_ 14_ 5,1 photograph : b&w,8 x 10 in.,"Edmund Gwenn, Zachary Scott, and Dennis Morgan in Pretty Baby",1949-12/1950-02,"WARNER BROS. PICTURES INC. Presents ""PRETTY BABY"" starring DENNIS MORGAN - BETSY DRAKE",between December 1949 and February 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4sc,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np4sc-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Morgan, Dennis, $d 1908-1994|~|Drake, Betsy, $d 1923-|~|Scott, Zachary, $d 1914-1965","Windust, Bretaigne, $d 1906-1960",,Warner Bros. Pictures,,,Warner Bros. Pictures,,Pretty Baby (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 764_ 14_ 6,1 photograph : b&w,8 x 10 in.,"Betsy Drake, Dennis Morgan, and Zachary Scott in Pretty Baby",1949-12/1950-02,"WARNER BROS. PICTURES INC. Presents ""PRETTY BABY"" starring DENNIS MORGAN - BETSY DRAKE",between December 1949 and February 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4tw,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np4tw-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Drake, Betsy, $d 1923-","Windust, Bretaigne, $d 1906-1960",,Warner Bros. Pictures,,,Warner Bros. Pictures,,Pretty Baby (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 764_ 14_ 7,1 photograph : b&w,8 x 10 in.,Betsy Drake in Pretty Baby,1949-12/1950-02,"WARNER BROS. PICTURES INC. Presents ""PRETTY BABY"" starring DENNIS MORGAN - BETSY DRAKE",between December 1949 and February 1950,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4vd,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np4vd_1696151_master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Cummings, Robert, $d 1908-1990|~|Caulfield, Joan, $d 1922-1991","Levin, Henry, $d 1909-1980",,Columbia Pictures,,,Columbia Pictures,,"Petty Girl, The (Motion picture)",eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 767_ 14_ 1,1 photograph : b&w,8 x 10 in.,Robert Cummings and Joan Caulfield in The Petty Girl,1949-09-06/1949-10-15,"COLUMBIA PICTURES presents THE PETTY GIRL, Color by TECHNICOLOR, starring ROBERT CUMMINGS and JOAN CAULFIELD with Elsa Lanchester and Melville Cooper. Screen Play by Nat Perrin. Music by Harold Arlen. Lyrics by John Mercer. Directed by HENRY LEVIN. Produced by NAT PERRIN.",between September 6 1949 and October 15 1949,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4wx,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np4wx-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Cummings, Robert, $d 1908-1990|~|Long, Audrey, $d 1922-","Levin, Henry, $d 1909-1980",,Columbia Pictures,,,Columbia Pictures,,"Petty Girl, The (Motion picture)",eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 767_ 14_ 2,1 photograph : b&w,8 x 10 in.,Robert Cummings and Audrey Long in The Petty Girl,1949-09-06/1949-10-15,"COLUMBIA PICTURES presents THE PETTY GIRL, Color by TECHNICOLOR, starring ROBERT CUMMINGS and JOAN CAULFIELD with Elsa Lanchester and Melville Cooper. Screen Play by Nat Perrin. Music by Harold Arlen. Lyrics by John Mercer. Directed by HENRY LEVIN. Produced by NAT PERRIN.",between September 6 and October 15 1949,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4xf,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np4xf-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Cummings, Robert, $d 1908-1990|~|Clark, Edward, 1878-1954|~|Edwards, Sarah|~|Howard, Kathleen, $d 1884-1956|~|Wickes, Mary, $d 1910-1995|~|Glass, Everett","Levin, Henry, $d 1909-1980",,Columbia Pictures,,,Columbia Pictures,,"Petty Girl, The (Motion picture)",eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 767_ 14_ 3,1 photograph : b&w,8 x 10 in.,"Kathleen Howard, Sarah Edwards, Robert Cummings, Mary Wickes, Edward Clark, Everett Glass and others in The Petty Girl",1949-09-06/1949-10-15,"COLUMBIA PICTURES presents THE PETTY GIRL, Color by TECHNICOLOR, starring ROBERT CUMMINGS and JOAN CAULFIELD with Elsa Lanchester and Melville Cooper. Screen Play by Nat Perrin. Music by Harold Arlen. Lyrics by John Mercer. Directed by HENRY LEVIN. Produced by NAT PERRIN.",between September 6 and October 15 1949,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4zz,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np4zz-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Cummings, Robert, $d 1908-1990|~|Caulfield, Joan, $d 1922-1991","Levin, Henry, $d 1909-1980",,Columbia Pictures,,,Columbia Pictures,,"Petty Girl, The (Motion picture)",eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 767_ 14_ 4,1 photograph : b&w,8 x 10 in.,Robert Cummings and Joan Caulfield in The Petty Girl,1949-09-06/1949-10-15,"COLUMBIA PICTURES presents THE PETTY GIRL, Color by TECHNICOLOR, starring ROBERT CUMMINGS and JOAN CAULFIELD with Elsa Lanchester and Melville Cooper. Screen Play by Nat Perrin. Music by Harold Arlen. Lyrics by John Mercer. Directed by HENRY LEVIN. Produced by NAT PERRIN.",between September 6 and October 15 1949,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz002831wp,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/pasc_195_1155_20_1.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Full Confession  (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1155_20_1,1 photograph : b&w,8 x 10 in.,FULL CONFESSION,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmq8x/dt75k19x,ark:/21198/zz001nmq8x,,,Page,mpstills/masters/21198-zz001nmq8x_1692549_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqj2/4w10p468,ark:/21198/zz001nmqj2,,,Page,mpstills/masters/21198-zz001nmqj2-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzn0/2r79r265,ark:/21198/zz001nmzn0,,,Page,mpstills/masters/21198-zz001nmzn0_1692969_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
